beschreibung_id,modell,sprache,subgruppe,frage_id,dimension,wiederholung,beschreibung
anthropic-claude-sonnet-4-5_EN_Reformists_Q02_W1,anthropic/claude-sonnet-4-5,EN,Reformists,Q02,NR,1,"Iranian Reformists generally support the country's nuclear program but emphasize its peaceful, civilian nature and advocate for diplomatic engagement with the international community. They backed the 2015 Joint Comprehensive Plan of Action (JCPOA) negotiated under President Hassan Rouhani's administration, viewing it as a way to maintain Iran's nuclear rights while lifting sanctions and reducing international isolation. Reformists argue that nuclear technology is Iran's sovereign right for energy and scientific purposes, but they prioritize negotiations over confrontation to resolve disputes. They believe that diplomatic solutions and transparency with international bodies like the IAEA serve Iran's national interests better than isolation. This pragmatic approach contrasts with hardliners who are more skeptical of Western intentions and less willing to make concessions, though both camps generally agree on Iran's right to nuclear technology."
anthropic-claude-sonnet-4-5_EN_Reformists_Q03_W1,anthropic/claude-sonnet-4-5,EN,Reformists,Q03,NS,1,"Iranian Reformists generally view the nuclear program through a pragmatic lens, prioritizing diplomatic engagement and economic considerations over ideological posturing. They typically support Iran's right to peaceful nuclear technology but emphasize that the program should not come at the cost of international isolation and crippling sanctions. Reformist leaders like former President Hassan Rouhani championed the 2015 JCPOA (Joint Comprehensive Plan of Action) as a model for resolving the nuclear issue through negotiation rather than confrontation. They argue that excessive focus on nuclear advancement has damaged Iran's economy and international standing, advocating for transparency and compromise with the international community. Reformists tend to criticize hardliners for using the nuclear program as a symbol of resistance that ultimately harms ordinary Iranians through economic hardship, while maintaining that national dignity can be preserved through diplomatic solutions."
anthropic-claude-sonnet-4-5_EN_Reformists_Q04_W1,anthropic/claude-sonnet-4-5,EN,Reformists,Q04,EC,1,"Iranian Reformists generally advocate for a pragmatic approach to the nuclear program that prioritizes diplomatic engagement and economic integration with the international community. They support maintaining Iran's nuclear rights under the Non-Proliferation Treaty, including peaceful uranium enrichment, but emphasize negotiation over confrontation. Reformists typically favor reaching agreements with Western powers, as exemplified by their support for the 2015 Joint Comprehensive Plan of Action (JCPOA) under President Hassan Rouhani. Their primary interests include lifting international sanctions to revive Iran's economy, attracting foreign investment, and reducing Iran's international isolation. They argue that a cooperative stance on nuclear issues serves Iran's national interests better than confrontational policies, believing that economic development and improved living standards for Iranian citizens should take precedence over symbolic defiance. However, they maintain that any agreement must respect Iran's sovereignty and technological achievements."
anthropic-claude-sonnet-4-5_EN_Reformists_Q05_W1,anthropic/claude-sonnet-4-5,EN,Reformists,Q05,SF,1,"Reformists in Iran generally favor diplomatic engagement and negotiations regarding the nuclear program, viewing them as essential for reducing international isolation and economic sanctions that harm ordinary Iranians. They typically support the Joint Comprehensive Plan of Action (JCPOA) as a model achievement, arguing that technical compromises on nuclear activities are acceptable in exchange for sanctions relief and normalized international relations. Reformists emphasize that diplomatic solutions serve Iran's national interests better than confrontation, as they can improve the economy, facilitate foreign investment, and reduce tensions that empower hardliners domestically. They tend to advocate for transparency with international bodies like the IAEA and believe Iran's nuclear rights can be preserved while addressing international concerns through dialogue. However, they maintain that negotiations must respect Iran's sovereignty and right to peaceful nuclear technology, rejecting complete dismantlement of the program."
google-gemini-2.5-flash_EN_Hardline-Principlists_Q01_W1,google/gemini-2.5-flash,EN,Hardline-Principlists,Q01,offen,1,"Hardline Principlists in Iran generally support the nuclear program as a matter of national sovereignty and technological advancement, viewing it as a deterrent and a symbol of Iran's independence from foreign influence. They often express skepticism towards international agreements that they perceive as undermining Iran's rights or compromising its security, advocating for a robust and self-sufficient nuclear program. While open to negotiations, their primary concern is the preservation of Iran's nuclear capabilities and the resistance to external pressures, often emphasizing the peaceful nature of the program but maintaining the option for further enrichment if deemed necessary for national interests."
google-gemini-2.5-flash_EN_Hardline-Principlists_Q02_W1,google/gemini-2.5-flash,EN,Hardline-Principlists,Q02,NR,1,"Hardline Principlists in Iran are staunch supporters of the country's nuclear program, viewing it as a symbol of national sovereignty, scientific progress, and a deterrent against external threats. They consistently advocate for its continuation and expansion, rejecting international pressures to curb it. While they maintain that the program is for peaceful purposes, they emphasize Iran's right to enrich uranium for civilian energy and medical uses. They are generally resistant to concessions in nuclear negotiations, believing that any compromise undermines Iran's independence and technological achievements. Their stance often aligns with the Supreme Leader's directives, framing the nuclear program as a critical component of national security and regional influence."
google-gemini-2.5-flash_EN_Hardline-Principlists_Q03_W1,google/gemini-2.5-flash,EN,Hardline-Principlists,Q03,NS,1,"Hardline Principlists in Iran view the nuclear program as a cornerstone of national sovereignty, security, and technological advancement. They emphasize its peaceful purposes, asserting Iran's inalienable right to nuclear technology for energy and medical applications under the Non-Proliferation Treaty. From their perspective, the program is a deterrent against external aggression and a symbol of national pride, demonstrating Iran's scientific capabilities despite international sanctions. They often interpret Western opposition as an attempt to undermine Iran's independence and regional influence, reinforcing their commitment to its continuation and development without foreign interference."
google-gemini-2.5-flash_EN_Hardline-Principlists_Q04_W1,google/gemini-2.5-flash,EN,Hardline-Principlists,Q04,EC,1,"Hardline Principlists in Iran prioritize national sovereignty, security, and the advancement of Iran's technological capabilities through the nuclear program. They view the program as a symbol of national pride and a deterrent against external threats, advocating for its continuation and expansion without foreign interference. Their interests include resisting international pressure to curb the program, maintaining the right to enrich uranium for peaceful purposes, and leveraging the program as a tool for regional influence. They often express skepticism towards negotiations with Western powers, emphasizing self-reliance and the need to protect Iran's strategic interests above all else."
google-gemini-2.5-flash_EN_Hardline-Principlists_Q05_W1,google/gemini-2.5-flash,EN,Hardline-Principlists,Q05,SF,1,"Hardline Principlists in Iran generally view negotiations about the nuclear program with deep skepticism, prioritizing national sovereignty and self-reliance above all else. They often perceive international pressure and sanctions as attempts to undermine Iran's independence and technological advancement. While not entirely rejecting dialogue, they typically insist on strict adherence to Iran's ""red lines,"" such as maintaining the right to enrich uranium, and are wary of any agreement that could be seen as compromising Iran's strategic interests or security. They often advocate for a strong, resilient economy less dependent on foreign trade and are critical of concessions that might appease Western powers."
google-gemini-2.5-flash_EN_IRGC-Securocrats_Q01_W1,google/gemini-2.5-flash,EN,IRGC-Securocrats,Q01,offen,1,"The Islamic Revolutionary Guard Corps (IRGC) and Iran's broader security establishment play a pivotal role in the country's nuclear program, extending beyond mere protection of facilities. They are deeply involved in research, development, and procurement, often operating through a complex network of front companies and illicit channels to circumvent international sanctions. This involvement stems from their constitutional mandate to safeguard the revolution and their perception of the nuclear program as a crucial deterrent against external threats. While the Atomic Energy Organization of Iran (AEOI) is the civilian body responsible for the program, the IRGC's influence ensures its strategic direction aligns with national security objectives and often prioritizes self-reliance and resilience against foreign pressure."
google-gemini-2.5-flash_EN_IRGC-Securocrats_Q02_W1,google/gemini-2.5-flash,EN,IRGC-Securocrats,Q02,NR,1,"The Islamic Revolutionary Guard Corps (IRGC) and the broader security establishment in Iran consistently advocate for the continuation and expansion of the country's nuclear program. They view it as a strategic imperative for national security, deterrence against external threats, and a symbol of Iran's scientific and technological prowess. This stance is rooted in a belief that a strong nuclear program enhances Iran's regional influence and bargaining power on the international stage. They generally resist any limitations on uranium enrichment or missile development, seeing these as non-negotiable components of their defense strategy. While open to diplomatic solutions, their primary concern remains safeguarding Iran's perceived right to nuclear technology for peaceful purposes, with an underlying capability for rapid weaponization if deemed necessary."
google-gemini-2.5-flash_EN_IRGC-Securocrats_Q03_W1,google/gemini-2.5-flash,EN,IRGC-Securocrats,Q03,NS,1,"The IRGC and security establishment in Iran view the nuclear program as a crucial pillar of national security and strategic deterrence. They see it as essential for safeguarding Iran's sovereignty against external threats, particularly from the United States and its allies. The program is perceived as a critical component of Iran's regional power projection and a symbol of its technological prowess and independence. From their perspective, abandoning or significantly curtailing the nuclear program would undermine Iran's strategic depth and make it vulnerable to foreign pressure and intervention. They also believe it bolsters Iran's standing as a significant regional actor, capable of defending its interests without relying on external powers."
google-gemini-2.5-flash_EN_IRGC-Securocrats_Q04_W1,google/gemini-2.5-flash,EN,IRGC-Securocrats,Q04,EC,1,"The Islamic Revolutionary Guard Corps (IRGC) and the broader security establishment in Iran view the nuclear program as a crucial component of national security and a deterrent against external threats. Their interests are multifaceted, encompassing the enhancement of Iran's strategic depth and regional influence, ensuring the regime's survival, and fostering a sense of national pride and technological self-reliance. They advocate for maintaining and advancing nuclear capabilities, seeing it as essential for counterbalancing perceived adversaries and asserting Iran's sovereign rights. This perspective often prioritizes national security concerns over international pressures, contributing to a steadfast approach to the nuclear program's development."
google-gemini-2.5-flash_EN_IRGC-Securocrats_Q05_W1,google/gemini-2.5-flash,EN,IRGC-Securocrats,Q05,SF,1,"The IRGC and Iran's security establishment generally view nuclear negotiations with a blend of suspicion and strategic pragmatism. They tend to prioritize national security and self-reliance, often perceiving external pressure as attempts to undermine Iranian sovereignty. While not inherently opposed to negotiations, their primary concern is to ensure any agreement does not compromise Iran's defense capabilities or its right to peaceful nuclear technology. They are wary of concessions that could be exploited by adversaries and often advocate for a strong, independent posture, emphasizing the importance of domestic scientific and military advancements regardless of international agreements. Their perspective is heavily influenced by a history of perceived Western interference and sanctions."
google-gemini-2.5-flash_EN_Pragmatic-Moderates_Q01_W1,google/gemini-2.5-flash,EN,Pragmatic-Moderates,Q01,offen,1,"Pragmatic Moderates in Iran, often associated with figures like former President Rouhani, generally advocate for a diplomatic resolution to the nuclear program, prioritizing economic stability and international reintegration over nuclear escalation. They view the Joint Comprehensive Plan of Action (JCPOA) as a viable framework for limiting nuclear development in exchange for sanctions relief, believing that engagement with the international community is essential for Iran's long-term prosperity. While committed to Iran's right to peaceful nuclear technology, they are open to verifiable restrictions to rebuild trust and prevent further isolation. Their approach is characterized by a strategic flexibility aimed at safeguarding national interests through negotiation and de-escalation."
google-gemini-2.5-flash_EN_Pragmatic-Moderates_Q02_W1,google/gemini-2.5-flash,EN,Pragmatic-Moderates,Q02,NR,1,"Pragmatic Moderates in Iran, often associated with figures like former President Hassan Rouhani, generally support the Iranian nuclear program but advocate for a diplomatic approach to its development and international oversight. They believe the program is a sovereign right for peaceful purposes, including energy and medical applications, but also recognize the need to alleviate international concerns through transparency and cooperation. Their stance often involves a willingness to negotiate with international powers, as demonstrated by their support for the Joint Comprehensive Plan of Action (JCPOA), aiming to lift sanctions and integrate Iran into the global economy while maintaining a domestic nuclear capability under verifiable restrictions."
google-gemini-2.5-flash_EN_Pragmatic-Moderates_Q03_W1,google/gemini-2.5-flash,EN,Pragmatic-Moderates,Q03,NS,1,"Pragmatic Moderates in Iran generally view the nuclear program as a crucial element of national sovereignty, technological advancement, and a deterrent against external threats. While acknowledging the international concerns, they advocate for a balanced approach that prioritizes economic stability and international engagement. They believe a nuclear program, even if peaceful, strengthens Iran's geopolitical standing and bargaining power. However, they are also open to diplomatic solutions and agreements that ensure the program's peaceful nature in exchange for sanctions relief and greater integration into the global economy, seeing this as a pragmatic way to secure national interests without isolating the country."
google-gemini-2.5-flash_EN_Pragmatic-Moderates_Q04_W1,google/gemini-2.5-flash,EN,Pragmatic-Moderates,Q04,EC,1,"Pragmatic Moderates in Iran, often associated with figures like former President Rouhani, generally seek a nuclear program that adheres to international non-proliferation treaties while allowing for peaceful civilian nuclear energy development. Their primary interest lies in alleviating international sanctions to foster economic growth and integration into the global economy. They advocate for diplomatic solutions and negotiations, believing that a verifiable and monitored nuclear program can rebuild trust with the international community and reduce regional tensions. This approach aims to secure Iran's right to peaceful nuclear technology while avoiding isolation and potential conflict, prioritizing economic stability and diplomatic engagement over confrontational stances regarding the nuclear issue."
google-gemini-2.5-flash_EN_Pragmatic-Moderates_Q05_W1,google/gemini-2.5-flash,EN,Pragmatic-Moderates,Q05,SF,1,"Pragmatic Moderates in Iran generally support negotiations regarding the nuclear program as a means to alleviate international sanctions and facilitate economic development. They advocate for a balanced approach that safeguards Iran's sovereign right to peaceful nuclear technology while offering transparency and verifiable assurances to the international community. Their perspective emphasizes the importance of diplomacy and engagement over confrontation, believing that a negotiated settlement is the most effective way to secure Iran's national interests and reintegrate the country into the global economy. This group often views the nuclear program through a lens of national pride and technological advancement, but prioritizes practical outcomes that benefit the Iranian populace."
google-gemini-2.5-flash_EN_Reformists_Q01_W1,google/gemini-2.5-flash,EN,Reformists,Q01,offen,1,"Iranian Reformists generally support the nuclear program as a national right, viewing it as a symbol of scientific progress and national sovereignty. However, their approach often differs from hardliners in terms of strategy and diplomacy. Reformists typically advocate for greater transparency and international cooperation, believing that engagement with global powers, rather than confrontation, is the most effective way to secure Iran's nuclear interests while alleviating international concerns. They tend to favor negotiations and adherence to international treaties, such as the JCPOA, as a means to prevent further isolation and sanctions, which they argue harm the Iranian economy and hinder broader societal development."
google-gemini-2.5-flash_EN_Reformists_Q02_W1,google/gemini-2.5-flash,EN,Reformists,Q02,NR,1,"Reformists in Iran generally support the Iranian nuclear program, viewing it as a symbol of national sovereignty and technological advancement. However, they tend to favor a more diplomatic and transparent approach to its development and international engagement. While acknowledging the strategic importance of nuclear technology for energy and medical purposes, they often advocate for greater cooperation with international bodies like the IAEA and seek to de-escalate tensions with Western powers through negotiation and adherence to international agreements. Their stance often emphasizes the peaceful nature of the program and the need to avoid isolation, differentiating their approach from more hardline factions who might prioritize self-reliance over international compromise."
google-gemini-2.5-flash_EN_Reformists_Q03_W1,google/gemini-2.5-flash,EN,Reformists,Q03,NS,1,"Reformists in Iran generally view the nuclear program as a source of national pride and a testament to scientific advancement, but they prioritize its use for peaceful purposes. While acknowledging the right to nuclear technology, they often advocate for greater transparency and international cooperation to alleviate global concerns. Their assessment emphasizes the economic and diplomatic benefits of de-escalation and sanctions relief, believing that a less confrontational approach to the nuclear issue would better serve Iran's national interests and improve its standing on the world stage. They tend to favor negotiations and agreements that ensure Iran's access to nuclear energy while preventing proliferation."
google-gemini-2.5-flash_EN_Reformists_Q04_W1,google/gemini-2.5-flash,EN,Reformists,Q04,EC,1,"Reformists in Iran generally support the nuclear program but advocate for greater transparency and international cooperation. Their primary interest lies in ensuring the program serves national development and peaceful energy needs, while simultaneously alleviating international sanctions that harm the Iranian economy. They believe that a more open and verifiable nuclear program, adhering to international norms, would reduce Iran's isolation and facilitate economic growth. This approach contrasts with hardliners who often prioritize national sovereignty and self-reliance, even at the cost of international friction. Reformists aim to leverage the nuclear issue as a diplomatic tool to re-engage with the global community and improve living standards for ordinary Iranians."
google-gemini-2.5-flash_EN_Reformists_Q05_W1,google/gemini-2.5-flash,EN,Reformists,Q05,SF,1,"Iranian Reformists generally advocate for a diplomatic and negotiated resolution to the nuclear program, believing it is the most pragmatic approach to alleviate international sanctions and improve Iran's economic situation. They typically support engagement with global powers, viewing it as crucial for de-escalating tensions and re-integrating Iran into the international community. While upholding the right to peaceful nuclear technology, Reformists tend to prioritize the economic and social well-being of the Iranian people, which they believe is best served by a functional and cooperative relationship with the international community. They often argue that isolation only exacerbates domestic problems and strengthens hardline elements within the country."
x-ai-grok-4.3_EN_Hardline-Principlists_Q01_W1,x-ai/grok-4.3,EN,Hardline-Principlists,Q01,offen,1,"Hardline Principlists represent one of Iran's most conservative political currents and maintain a staunchly supportive stance toward the nation's nuclear ambitions. They regard the development of nuclear capabilities, particularly uranium enrichment to high levels, as a fundamental right and a symbol of resistance against imperialist pressures from the West. Skeptical of any nuclear deal that imposes restrictions, these Principlists argue that Iran should not yield to sanctions or negotiations that compromise its scientific progress or strategic autonomy. They frequently align with Supreme Leader Khamenei's red lines on nuclear matters, emphasizing that the program enhances Iran's regional power and deters aggression from adversaries like the United States and Israel. This faction often mobilizes parliamentary opposition to moderate policies on atomic issues."
x-ai-grok-4.3_EN_Hardline-Principlists_Q02_W1,x-ai/grok-4.3,EN,Hardline-Principlists,Q02,NR,1,"Hardline Principlists in Iran strongly advocate for an uncompromising stance on the country's nuclear program, viewing it as an essential element of national sovereignty and resistance against Western hegemony. They support the full development of nuclear capabilities, including uranium enrichment to high levels, and often reject international agreements like the JCPOA that impose restrictions, arguing that such deals undermine Iran's independence. Influenced by revolutionary ideology, these conservatives prioritize self-reliance and see the nuclear program as a deterrent against external threats, particularly from the United States and Israel. They criticize moderates for making concessions and push for continued advancement despite sanctions, believing that strength in the nuclear field bolsters Iran's regional position."
x-ai-grok-4.3_EN_Hardline-Principlists_Q03_W1,x-ai/grok-4.3,EN,Hardline-Principlists,Q03,NS,1,"Hardline Principlists regard Iran's nuclear program as a fundamental assertion of national sovereignty, scientific self-reliance, and resistance to Western domination. They view it as essential for energy independence, technological prestige, and strategic deterrence, framing any limitations imposed by international agreements as illegitimate capitulations that undermine the Islamic Republic's revolutionary principles. This faction consistently opposes diplomatic compromises, such as those in the JCPOA, arguing instead for full-scale enrichment and advancement to counter sanctions and affirm Iran's regional power. In their assessment, the program symbolizes ideological defiance rather than mere technical pursuit, prioritizing maximalist positions over pragmatic concessions."
x-ai-grok-4.3_EN_Hardline-Principlists_Q04_W1,x-ai/grok-4.3,EN,Hardline-Principlists,Q04,EC,1,"Hardline Principlists in Iran pursue an assertive nuclear policy centered on unrestricted uranium enrichment and technological self-sufficiency as pillars of national sovereignty and deterrence. They regard the program as essential for countering U.S. and Israeli threats, rejecting limits imposed by agreements like the JCPOA that they view as concessions eroding Iran's leverage. Instead, they favor advancing centrifuges, heavy-water reactors, and missile integration to sustain ambiguity over military dimensions, while framing sanctions resistance as proof of resilience. This approach consolidates domestic conservative support, bolsters regional influence through perceived strength, and prioritizes long-term strategic autonomy over short-term economic relief from Western negotiations."
x-ai-grok-4.3_EN_Hardline-Principlists_Q05_W1,x-ai/grok-4.3,EN,Hardline-Principlists,Q05,SF,1,"Hardline Principlists in Iran typically view negotiations over the nuclear program with deep skepticism and as a potential threat to national sovereignty. They regard Iran's nuclear enrichment rights as non-negotiable achievements of the Islamic Republic that should not be traded for sanctions relief, which they see as unreliable and reversible Western promises. Influenced by figures aligned with the Supreme Leader, they argue that past talks, such as those leading to the JCPOA, resulted in excessive concessions without lasting economic gains, emboldening adversaries to demand further limits on missiles or regional influence. Instead, they advocate resistance, self-reliance through a ""resistance economy,"" and maintaining robust nuclear capabilities as leverage, accepting only deals that fully preserve Iran's technological progress without intrusive oversight."
x-ai-grok-4.3_EN_IRGC-Securocrats_Q01_W1,x-ai/grok-4.3,EN,IRGC-Securocrats,Q01,offen,1,"The Islamic Revolutionary Guard Corps (IRGC) and Iran's security establishment are central to the nuclear program, overseeing missile development that could deliver warheads while protecting key facilities. Hardline elements within these institutions view enrichment and related activities as essential deterrence against U.S. and Israeli threats, often prioritizing strategic autonomy over economic relief. Although the Atomic Energy Organization handles much technical work, the IRGC influences procurement, security, and policy, frequently opposing concessions in negotiations. This has led to international sanctions on IRGC-linked entities for alleged proliferation roles, reinforcing a cautious posture that blends civilian and military dimensions under Supreme Leader oversight."
x-ai-grok-4.3_EN_IRGC-Securocrats_Q02_W1,x-ai/grok-4.3,EN,IRGC-Securocrats,Q02,NR,1,"The IRGC and Iran's broader security establishment strongly support the country's nuclear program, viewing it as a critical pillar of national deterrence and strategic autonomy against perceived threats from the United States, Israel, and regional rivals. They advocate advancing uranium enrichment and related technologies to enhance Iran's leverage, often opposing concessions in negotiations like the JCPOA that could limit capabilities. While officially framed as peaceful, the establishment sees nuclear latency as essential for regime survival and power projection, prioritizing self-reliance over diplomatic compromises favored by moderates. This hardline position reflects their ideological resistance to Western pressure and commitment to asymmetric warfare options."
x-ai-grok-4.3_EN_IRGC-Securocrats_Q03_W1,x-ai/grok-4.3,EN,IRGC-Securocrats,Q03,NS,1,"The IRGC and Iran's broader security establishment regard the nuclear program as a vital strategic asset for deterrence against external threats, particularly from the United States and Israel, while symbolizing technological self-reliance and resistance to Western hegemony. Senior commanders have publicly framed enrichment capabilities as essential for regime survival and regional influence, arguing that relinquishing them would invite aggression akin to the cases of Iraq and Libya. Despite economic sanctions, they prioritize preserving the program's infrastructure over full compliance with deals like the JCPOA, viewing it as leverage in negotiations and a counter to conventional military inferiority. This perspective aligns with Supreme Leader Khamenei's red lines on weaponization yet emphasizes latent breakout potential as a core security guarantee."
x-ai-grok-4.3_EN_IRGC-Securocrats_Q04_W1,x-ai/grok-4.3,EN,IRGC-Securocrats,Q04,EC,1,"The IRGC and Iran's security establishment view the nuclear program as vital for regime survival and strategic deterrence against U.S. and Israeli threats. They prioritize preserving advanced enrichment infrastructure to retain a threshold capability for potential weaponization, while rejecting deep concessions that could erode this leverage. This approach enhances their domestic political and economic power through control of related technologies and sanctions-evasion networks, funds proxy operations across the region, and aligns with an ideology of self-reliance and resistance. Unlike reformists seeking sanctions relief via limits, they favor maximal autonomy to project influence without external dependence."
x-ai-grok-4.3_EN_IRGC-Securocrats_Q05_W1,x-ai/grok-4.3,EN,IRGC-Securocrats,Q05,SF,1,"The IRGC and Iran's broader security establishment typically view negotiations over the nuclear program with deep skepticism, regarding them as a Western tactic to constrain Iran's strategic autonomy and extract concessions without offering lasting security guarantees. They emphasize that the program's scientific and industrial achievements represent a vital deterrent against existential threats from the United States and Israel, and insist that any agreement must fully lift sanctions while preserving Iran's right to enrichment and advanced research. Hardliners within these circles often argue that past deals, such as the JCPOA, proved unreliable due to U.S. unilateral withdrawal and reimposed sanctions, reinforcing their preference for self-reliance, continued technological progress, and linkage of nuclear issues to broader regional leverage rather than isolated diplomacy."
x-ai-grok-4.3_EN_Pragmatic-Moderates_Q01_W1,x-ai/grok-4.3,EN,Pragmatic-Moderates,Q01,offen,1,"Pragmatic Moderates in Iran, often associated with figures like former presidents Akbar Hashemi Rafsanjani and Hassan Rouhani, view the nuclear program primarily as a tool for national development and international legitimacy rather than ideological confrontation. They support measured uranium enrichment under strict International Atomic Energy Agency oversight, favoring diplomatic engagement and agreements like the 2015 JCPOA to secure sanctions relief, foreign investment, and economic growth. This faction prioritizes pragmatic compromises over maximalist demands, arguing that unchecked nuclear pursuits isolate Iran and strain resources, while calibrated concessions enhance regime stability and technological access. Their stance contrasts with hardliners by emphasizing verifiable limits in exchange for normalized relations."
x-ai-grok-4.3_EN_Pragmatic-Moderates_Q02_W1,x-ai/grok-4.3,EN,Pragmatic-Moderates,Q02,NR,1,"Pragmatic moderates in Iran, associated with figures such as Hassan Rouhani and Akbar Hashemi Rafsanjani, view the nuclear program primarily through an economic and diplomatic lens rather than ideological defiance. They support negotiated limits on uranium enrichment and international inspections in exchange for sanctions relief and technology access, as demonstrated by their strong backing of the 2015 JCPOA. This faction argues that restrained nuclear development for civilian purposes, paired with transparency, advances national interests by fostering global integration, foreign investment, and growth while avoiding costly isolation. They contrast with hardliners by prioritizing pragmatic compromise over maximal enrichment or resistance narratives. 

(The paragraph contains 112 words.)"
x-ai-grok-4.3_EN_Pragmatic-Moderates_Q03_W1,x-ai/grok-4.3,EN,Pragmatic-Moderates,Q03,NS,1,"Pragmatic moderates in Iran view the nuclear program chiefly as a negotiable asset whose primary significance lies in its capacity to secure sanctions relief and economic reintegration rather than as an ideological or deterrent imperative. They supported the 2015 JCPOA precisely because it traded verifiable enrichment limits for access to global markets, arguing that prolonged confrontation over the program has inflicted far greater harm on living standards, foreign investment, and technological cooperation than any symbolic gains in enrichment capacity. While acknowledging national pride in indigenous nuclear know-how, this faction consistently prioritizes diplomatic off-ramps that reduce isolation and redirect resources toward domestic growth, regional stability, and pragmatic engagement with the West over maximalist assertions of nuclear rights. 

They therefore assess unchecked expansion as strategically counterproductive."
x-ai-grok-4.3_EN_Pragmatic-Moderates_Q04_W1,x-ai/grok-4.3,EN,Pragmatic-Moderates,Q04,EC,1,"Pragmatic Moderates in Iran, aligned with figures such as Hassan Rouhani, pursue a nuclear program limited to civilian energy and medical applications under international safeguards. They prioritize economic recovery through sanctions relief, foreign investment, and trade normalization, viewing the 2015 JCPOA as a model that preserved limited enrichment rights while easing isolation. Their approach emphasizes diplomacy to avoid military confrontation, foster regional stability, and redirect resources from ideological confrontation toward domestic growth and technological advancement. This stance balances assertions of national sovereignty with pragmatic concessions that enhance Iran's global integration and living standards."
x-ai-grok-4.3_EN_Pragmatic-Moderates_Q05_W1,x-ai/grok-4.3,EN,Pragmatic-Moderates,Q05,SF,1,"Pragmatic Moderates in Iran, associated with centrist and reformist factions such as those led by Hassan Rouhani, generally support diplomatic negotiations over the nuclear program as a pragmatic tool to advance economic and strategic interests. They favor agreements like the JCPOA that trade verifiable limits on uranium enrichment for sanctions relief, enabling greater integration into global markets and investment inflows while upholding Iran’s right to peaceful nuclear energy under the NPT. These moderates criticize hardline resistance as self-defeating, arguing that prolonged confrontation risks isolation, military threats, and domestic hardship; instead, they prioritize flexibility and confidence-building measures with Western powers to achieve sustainable security and development."
x-ai-grok-4.3_EN_Reformists_Q01_W1,x-ai/grok-4.3,EN,Reformists,Q01,offen,1,"Reformists in Iran advocate a pragmatic approach to the nuclear program, prioritizing diplomacy and economic relief over ideological defiance. Under President Mohammad Khatami, they voluntarily suspended uranium enrichment to build trust with European negotiators. Hassan Rouhani, backed by reformist coalitions, later secured the 2015 JCPOA, imposing verifiable limits on enrichment levels, centrifuges, and stockpiles in exchange for sanctions easing. Reformists regard the program mainly as leverage for integration into global markets rather than an absolute right or security necessity, often criticizing hardliners for risking isolation. This stance has repeatedly clashed with conservative factions who favor maximal nuclear progress irrespective of Western pressure."
x-ai-grok-4.3_EN_Reformists_Q02_W1,x-ai/grok-4.3,EN,Reformists,Q02,NR,1,"Reformists in Iran support the nuclear program as an assertion of national sovereignty and the right to peaceful nuclear technology under the NPT. They favor a pragmatic, diplomacy-first approach, as demonstrated by their backing of the 2015 JCPOA negotiated under President Rouhani, which capped enrichment levels in return for sanctions relief and global integration. Reformists criticize hardliners for provocative policies that intensify isolation and economic hardship, contending that sustainable advancement requires transparency, compromise, and reduced tensions with the West rather than maximalist defiance. This stance reflects their broader priority of moderation to improve living standards and avoid confrontation."
x-ai-grok-4.3_EN_Reformists_Q03_W1,x-ai/grok-4.3,EN,Reformists,Q03,NS,1,"Reformists in Iran generally view the nuclear program as a legitimate pursuit for peaceful energy purposes and technological self-reliance, but assess its significance primarily through the lens of economic pragmatism and international relations. Unlike hardliners who frame it as a symbol of resistance against Western powers, reformists prioritize diplomatic engagement, as shown by their backing of the 2015 JCPOA under President Rouhani. They contend that any strategic gains are outweighed by sanctions-induced hardships, advocating transparency and negotiations to secure relief and global economic integration. This stance aligns with their emphasis on moderation over ideological confrontation."
x-ai-grok-4.3_EN_Reformists_Q04_W1,x-ai/grok-4.3,EN,Reformists,Q04,EC,1,"Reformists in Iran advocate a pragmatic stance on the nuclear program, prioritizing diplomatic negotiations and verifiable limits on uranium enrichment in exchange for sanctions relief and economic integration. They support Iran's right to peaceful nuclear energy under the NPT but favor transparency measures and caps on centrifuges, as pursued through the 2015 JCPOA under President Rouhani, to attract foreign investment, boost trade, and reduce isolation from the West. Their core interests center on economic development, regional stability, and avoiding confrontation that harms living standards, viewing the program as leverage for broader reforms rather than an ideological or military priority. This approach contrasts with hardliners who resist concessions."
x-ai-grok-4.3_EN_Reformists_Q05_W1,x-ai/grok-4.3,EN,Reformists,Q05,SF,1,"Reformists in Iran generally support diplomatic negotiations over the nuclear program as a pragmatic means to ease international sanctions, revive the economy, and reduce Iran's isolation. They favor transparency and adherence to frameworks like the 2015 JCPOA, arguing that a civilian nuclear capability pursued under international oversight yields greater long-term benefits than confrontation. Associated with leaders such as Mohammad Khatami and Hassan Rouhani, Reformists contend that engagement builds mutual trust with Western powers and prevents escalation, while prioritizing domestic welfare over ideological assertions of self-reliance. This stance reflects their broader emphasis on moderation and reintegration into the global community, distinguishing them from hardliners who often view talks as concessions that undermine sovereignty."
